525BW014.MV,DRYTONSHR,QCSBRIGHTNESS
26.10000038,20.33934975,54.5
26.10000038,20.305439,54.42781067
26.10000038,20.31564331,54.5
26.10000038,20.30352402,54.5
26.10000038,20.3472023,54.5
26.10610008,20.43135643,54.40000153
26.20259094,20.49545288,54.45005417
26.28523636,20.46234131,54.5
26.30000114,20.49689484,54.5
26.20000076,20.43727303,54.60000229
26.20000076,20.42700386,54.60000229
26.20000076,20.43301773,54.60000229
26.20000076,20.42106628,54.60000229
26.20000076,20.40999985,54.60000229
26.20000076,20.38106728,54.60000229
26.14967346,20.39999962,54.60000229
26.18102264,20.38189316,54.52225113
26.18864441,20.36110497,54.5
26.10000038,20.40470886,54.5
26.10000038,20.337677,54.58731842
26.10000038,20.34000015,54.60000229
26.10000038,20.36830521,54.54764557
26.20000076,20.41269112,54.60000229
26.20000076,20.40269852,54.60000229
26.20233917,20.45119286,54.60000229
26.30000114,20.4520874,54.60000229
26.30000114,20.52796745,54.60000229
26.30000114,20.44129372,54.60000229
26.20000076,20.40816689,54.70000076
26.10000038,20.36847687,54.70000076
26.10000038,20.38999939,54.60000229
26.14398003,20.46237183,54.60000229
26.39211082,20.57689285,54.70000076
26.36108208,20.5688343,54.70000076
26.39999962,20.60000038,54.70000076
26.3489399,20.46656418,54.74893951
26.34446716,20.55258369,54.60886383
26.24436569,20.49216461,54.70000076
26.30000114,20.4513855,54.60000229
26.10000038,20.33752823,54.61294937
26.10000038,20.31290054,54.70000076
26.10000038,20.35867691,54.70000076
26.10000038,20.37185478,54.70000076
26.0,20.31485367,54.70000076
26.0,20.28419876,54.77790833
26.10000038,20.36176682,54.79999924
26.10000038,20.42000008,54.79999924
26.10000038,20.37883186,54.70000076
26.20000076,20.39999962,54.78257751
26.20000076,20.40119171,54.70000076
26.30000114,20.48257446,54.70000076
26.20000076,20.45738792,54.60000229
26.39134789,20.61089134,54.58536148
26.21450806,20.44126701,54.53224564
26.10000038,20.35814285,54.51810074
26.10000038,20.35564613,54.5
26.0,20.34178734,54.5
26.20000076,20.43625069,54.5
26.1586895,20.38044167,54.5
26.10000038,20.37483788,54.5
26.18966293,20.40984917,54.5
26.20000076,20.44962502,54.5
26.20000076,20.4283371,54.5
26.20000076,20.43000031,54.5
26.20000076,20.38860893,54.54684448
26.20000076,20.40637207,54.60000229
26.17632294,20.36013794,54.70000076
26.10000038,20.40823364,54.70000076
26.10000038,20.32174683,54.79999924
26.10000038,20.35990334,54.79999924
26.0,20.35951233,54.90000153
26.07808304,20.35933685,54.90000153
26.20000076,20.42707634,54.90000153
26.19683647,20.42860413,54.90000153
26.10131645,20.40531349,54.90000153
26.10000038,20.37392998,55.0
26.20000076,20.45265198,54.99711227
26.10000038,20.37731361,55.0
26.20000076,20.4039402,55.0
26.16526985,20.3580761,55.0
